scheme_id,scheme_name,ministry,category,study_level,target_group,official_url,verification_date,description,eligibility,benefits,keywords,source_name,rule_version,unnamed:_14,unnamed:_15,unnamed:_16,unnamed:_17
CG011,Post-Matric Scholarship for ST Students,Ministry of Tribal Affairs,Scholarship,Post-matric/UG/PG,Scheduled Tribe students,https://tribal.nic.in/,9/7/2026,"Post-Matric Scholarship for ST Students is a scholarship initiative for scheduled tribe students, covering Post-matric/UG/PG education/research.",Primarily intended for scheduled tribe students. Applicable study level: Post-matric/UG/PG. Applicants must satisfy the scheme's current official conditions and documentation requirements.,"Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.","Post-Matric Scholarship for ST Students, Scholarship, Post-matric/UG/PG, Scheduled Tribe students, Ministry of Tribal Affairs",Ministry of Tribal Affairs,v1.0,,,,
CG012,Pre-Matric Scholarship for ST Students,Ministry of Tribal Affairs,Scholarship,School,Scheduled Tribe students,https://tribal.nic.in/,9/7/2026,"Pre-Matric Scholarship for ST Students is a scholarship initiative for scheduled tribe students, covering School education/research.",Primarily intended for scheduled tribe students. Applicable study level: School. Applicants must satisfy the scheme's current official conditions and documentation requirements.,"Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.","Pre-Matric Scholarship for ST Students, Scholarship, School, Scheduled Tribe students, Ministry of Tribal Affairs",Ministry of Tribal Affairs,v1.0,,,,
CG013,Ishan Uday Special Scholarship Scheme for North Eastern Region,University Grants Commission / Ministry of Education,Scholarship,UG,Students from North Eastern states,https://scholarships.gov.in/,9/7/2026,"Ishan Uday Special Scholarship Scheme for North Eastern Region is a scholarship initiative for students from north eastern states, covering UG education/research.",Primarily intended for students from north eastern states. Applicable study level: UG. Applicants must satisfy the scheme's current official conditions and documentation requirements.,"Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.","Ishan Uday Special Scholarship Scheme for North Eastern Region, Scholarship, UG, Students from North Eastern states, University Grants Commission / Ministry of Education",National Scholarship Portal,v1.0,,,,
CG014,National Scholarship for Post Graduate Studies,University Grants Commission / Ministry of Education,Scholarship,PG,Postgraduate students,https://scholarships.gov.in/,9/7/2026,"National Scholarship for Post Graduate Studies is a scholarship initiative for postgraduate students, covering PG education/research.",Primarily intended for postgraduate students. Applicable study level: PG. Applicants must satisfy the scheme's current official conditions and documentation requirements.,"Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.","National Scholarship for Post Graduate Studies, Scholarship, PG, Postgraduate students, University Grants Commission / Ministry of Education",National Scholarship Portal,v1.0,,,,
CG015,AICTE Pragati Scholarship Scheme for Girl Students,All India Council for Technical Education,Scholarship,Diploma/UG,Girl students pursuing technical education,https://scholarships.gov.in/,9/7/2026,"AICTE Pragati Scholarship Scheme for Girl Students is a scholarship initiative for girl students pursuing technical education, covering Diploma/UG education/research.",Primarily intended for girl students pursuing technical education. Applicable study level: Diploma/UG. Applicants must satisfy the scheme's current official conditions and documentation requirements.,"Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.","AICTE Pragati Scholarship Scheme for Girl Students, Scholarship, Diploma/UG, Girl students pursuing technical education, All India Council for Technical Education",National Scholarship Portal,v1.0,,,,
CG016,AICTE Saksham Scholarship Scheme,All India Council for Technical Education,Scholarship,Diploma/UG,Specially-abled students pursuing technical education,https://scholarships.gov.in/,9/7/2026,"AICTE Saksham Scholarship Scheme is a scholarship initiative for specially-abled students pursuing technical education, covering Diploma/UG education/research.",Primarily intended for specially-abled students pursuing technical education. Applicable study level: Diploma/UG. Applicants must satisfy the scheme's current official conditions and documentation requirements.,"Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.","AICTE Saksham Scholarship Scheme, Scholarship, Diploma/UG, Specially-abled students pursuing technical education, All India Council for Technical Education",National Scholarship Portal,v1.0,,,,
CG017,AICTE Swanath Scholarship Scheme,All India Council for Technical Education,Scholarship,Diploma/UG,Students meeting AICTE Swanath eligibility conditions,https://scholarships.gov.in/,9/7/2026,"AICTE Swanath Scholarship Scheme is a scholarship initiative for students meeting aicte swanath eligibility conditions, covering Diploma/UG education/research.",Primarily intended for students meeting aicte swanath eligibility conditions. Applicable study level: Diploma/UG. Applicants must satisfy the scheme's current official conditions and documentation requirements.,"Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.","AICTE Swanath Scholarship Scheme, Scholarship, Diploma/UG, Students meeting AICTE Swanath eligibility conditions, All India Council for Technical Education",National Scholarship Portal,v1.0,,,,
CG018,Maulana Azad National Fellowship,Ministry of Minority Affairs,Fellowship,MPhil/PhD,Students from notified minority communities,https://minorityaffairs.gov.in/,9/7/2026,"Maulana Azad National Fellowship is a fellowship initiative for students from notified minority communities, covering MPhil/PhD education/research.",Primarily intended for students from notified minority communities. Applicable study level: MPhil/PhD. Applicants must satisfy the scheme's current official conditions and documentation requirements.,"Financial support for eligible academic or research study, subject to the applicable fellowship rules.","Maulana Azad National Fellowship, Fellowship, MPhil/PhD, Students from notified minority communities, Ministry of Minority Affairs",Ministry of Minority Affairs,v1.0,,,,
CG019,Merit-cum-Means Scholarship for Professional and Technical Courses,Ministry of Minority Affairs,Scholarship,UG/PG,Students from minority communities,https://minorityaffairs.gov.in/,9/7/2026,"Merit-cum-Means Scholarship for Professional and Technical Courses is a scholarship initiative for students from minority communities, covering UG/PG education/research.",Primarily intended for students from minority communities. Applicable study level: UG/PG. Applicants must satisfy the scheme's current official conditions and documentation requirements.,"Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.","Merit-cum-Means Scholarship for Professional and Technical Courses, Scholarship, UG/PG, Students from minority communities, Ministry of Minority Affairs",Ministry of Minority Affairs,v1.0,,,,
CG020,Post-Matric Scholarship Scheme for Minorities,Ministry of Minority Affairs,Scholarship,Class XI/UG/PG,Students from minority communities,https://minorityaffairs.gov.in/,9/7/2026,"Post-Matric Scholarship Scheme for Minorities is a scholarship initiative for students from minority communities, covering Class XI/UG/PG education/research.",Primarily intended for students from minority communities. Applicable study level: Class XI/UG/PG. Applicants must satisfy the scheme's current official conditions and documentation requirements.,"Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.","Post-Matric Scholarship Scheme for Minorities, Scholarship, Class XI/UG/PG, Students from minority communities, Ministry of Minority Affairs",Ministry of Minority Affairs,v1.0,,,,
CG021,Scholarship Scheme for Students from Minority Communities,Ministry of Minority Affairs,Scholarship,School/UG/PG,Eligible minority students,https://minorityaffairs.gov.in/,9/7/2026,"Scholarship Scheme for Students from Minority Communities is a scholarship initiative for eligible minority students, covering School/UG/PG education/research.",Primarily intended for eligible minority students. Applicable study level: School/UG/PG. Applicants must satisfy the scheme's current official conditions and documentation requirements.,"Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.","Scholarship Scheme for Students from Minority Communities, Scholarship, School/UG/PG, Eligible minority students, Ministry of Minority Affairs",Ministry of Minority Affairs,v1.0,,,,
CG022,National Overseas Scholarship,Ministry of Social Justice and Empowerment,Scholarship,PG/PhD,Eligible SC and other notified-category students,https://socialjustice.gov.in/,9/7/2026,"National Overseas Scholarship is a scholarship initiative for eligible sc and other notified-category students, covering PG/PhD education/research.",Primarily intended for eligible sc and other notified-category students. Applicable study level: PG/PhD. Applicants must satisfy the scheme's current official conditions and documentation requirements.,"Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.","National Overseas Scholarship, Scholarship, PG/PhD, Eligible SC and other notified-category students, Ministry of Social Justice and Empowerment",Ministry of Social Justice and Empowerment,v1.0,,,,
CG023,National Overseas Scholarship for ST Students,Ministry of Tribal Affairs,Scholarship,PG/PhD,Scheduled Tribe students seeking overseas study,https://tribal.nic.in/,9/7/2026,"National Overseas Scholarship for ST Students is a scholarship initiative for scheduled tribe students seeking overseas study, covering PG/PhD education/research.",Primarily intended for scheduled tribe students seeking overseas study. Applicable study level: PG/PhD. Applicants must satisfy the scheme's current official conditions and documentation requirements.,"Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.","National Overseas Scholarship for ST Students, Scholarship, PG/PhD, Scheduled Tribe students seeking overseas study, Ministry of Tribal Affairs",Ministry of Tribal Affairs,v1.0,,,,
CG024,Scholarship Scheme for Wards of Beedi/Cine/IOMC/ LSDM Workers,Ministry of Labour and Employment,Scholarship,School/UG/PG,Eligible wards of specified workers,https://scholarships.gov.in/,9/7/2026,"Scholarship Scheme for Wards of Beedi/Cine/IOMC/ LSDM Workers is a scholarship initiative for eligible wards of specified workers, covering School/UG/PG education/research.",Primarily intended for eligible wards of specified workers. Applicable study level: School/UG/PG. Applicants must satisfy the scheme's current official conditions and documentation requirements.,"Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.","Scholarship Scheme for Wards of Beedi/Cine/IOMC/ LSDM Workers, Scholarship, School/UG/PG, Eligible wards of specified workers, Ministry of Labour and Employment",National Scholarship Portal,v1.0,,,,
CG025,Prime Minister’s Scholarship Scheme for RPF/RPSF,Ministry of Railways,Scholarship,UG/Professional,Wards of eligible RPF/RPSF personnel,https://scholarships.gov.in/,9/7/2026,"Prime Minister’s Scholarship Scheme for RPF/RPSF is a scholarship initiative for wards of eligible rpf/rpsf personnel, covering UG/Professional education/research.",Primarily intended for wards of eligible rpf/rpsf personnel. Applicable study level: UG/Professional. Applicants must satisfy the scheme's current official conditions and documentation requirements.,"Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.","Prime Minister’s Scholarship Scheme for RPF/RPSF, Scholarship, UG/Professional, Wards of eligible RPF/RPSF personnel, Ministry of Railways",National Scholarship Portal,v1.0,,,,
CG026,Prime Minister’s Scholarship Scheme for CAPF and Assam Rifles,Ministry of Home Affairs,Scholarship,UG/Professional,Wards of eligible CAPF/Assam Rifles personnel,https://scholarships.gov.in/,9/7/2026,"Prime Minister’s Scholarship Scheme for CAPF and Assam Rifles is a scholarship initiative for wards of eligible capf/assam rifles personnel, covering UG/Professional education/research.",Primarily intended for wards of eligible capf/assam rifles personnel. Applicable study level: UG/Professional. Applicants must satisfy the scheme's current official conditions and documentation requirements.,"Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.","Prime Minister’s Scholarship Scheme for CAPF and Assam Rifles, Scholarship, UG/Professional, Wards of eligible CAPF/Assam Rifles personnel, Ministry of Home Affairs",National Scholarship Portal,v1.0,,,,
CG027,Prime Minister’s Scholarship Scheme for Ex-Servicemen,Ministry of Defence,Scholarship,UG/Professional,Wards and widows of eligible ex-servicemen,https://scholarships.gov.in/,9/7/2026,"Prime Minister’s Scholarship Scheme for Ex-Servicemen is a scholarship initiative for wards and widows of eligible ex-servicemen, covering UG/Professional education/research.",Primarily intended for wards and widows of eligible ex-servicemen. Applicable study level: UG/Professional. Applicants must satisfy the scheme's current official conditions and documentation requirements.,"Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.","Prime Minister’s Scholarship Scheme for Ex-Servicemen, Scholarship, UG/Professional, Wards and widows of eligible ex-servicemen, Ministry of Defence",National Scholarship Portal,v1.0,,,,
CG028,Scholarship for Children of Armed Forces Personnel,Ministry of Defence,Scholarship,School/UG,Eligible children of armed forces personnel,https://scholarships.gov.in/,9/7/2026,"Scholarship for Children of Armed Forces Personnel is a scholarship initiative for eligible children of armed forces personnel, covering School/UG education/research.",Primarily intended for eligible children of armed forces personnel. Applicable study level: School/UG. Applicants must satisfy the scheme's current official conditions and documentation requirements.,"Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.","Scholarship for Children of Armed Forces Personnel, Scholarship, School/UG, Eligible children of armed forces personnel, Ministry of Defence",National Scholarship Portal,v1.0,,,,
CG029,National Fellowship for Persons with Disabilities,Department of Empowerment of Persons with Disabilities,Fellowship,MPhil/PhD,Research scholars with disabilities,https://scholarships.gov.in/,9/7/2026,"National Fellowship for Persons with Disabilities is a fellowship initiative for research scholars with disabilities, covering MPhil/PhD education/research.",Primarily intended for research scholars with disabilities. Applicable study level: MPhil/PhD. Applicants must satisfy the scheme's current official conditions and documentation requirements.,"Financial support for eligible academic or research study, subject to the applicable fellowship rules.","National Fellowship for Persons with Disabilities, Fellowship, MPhil/PhD, Research scholars with disabilities, Department of Empowerment of Persons with Disabilities",National Scholarship Portal,v1.0,,,,
CG030,Karnataka Minority Welfare Department Pre-Matric Scholarship,Karnataka Department of Minorities,Scholarship,School,Minority students in Karnataka,https://dom.karnataka.gov.in/,9/7/2026,"Karnataka Minority Welfare Department Pre-Matric Scholarship is a scholarship initiative for minority students in karnataka, covering School education/research.",Primarily intended for minority students in karnataka. Applicable study level: School. Applicants must satisfy the scheme's current official conditions and documentation requirements.,"Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.","Karnataka Minority Welfare Department Pre-Matric Scholarship, Scholarship, School, Minority students in Karnataka, Karnataka Department of Minorities",Government of Karnataka,v1.0,,,,
CG031,Karnataka Minority Welfare Department Post-Matric Scholarship,Karnataka Department of Minorities,Scholarship,Class XI/UG/PG,Minority students in Karnataka,https://dom.karnataka.gov.in/,9/7/2026,"Karnataka Minority Welfare Department Post-Matric Scholarship is a scholarship initiative for minority students in karnataka, covering Class XI/UG/PG education/research.",Primarily intended for minority students in karnataka. Applicable study level: Class XI/UG/PG. Applicants must satisfy the scheme's current official conditions and documentation requirements.,"Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.","Karnataka Minority Welfare Department Post-Matric Scholarship, Scholarship, Class XI/UG/PG, Minority students in Karnataka, Karnataka Department of Minorities",Government of Karnataka,v1.0,,,,
CG032,Karnataka Minority Welfare Department Merit-cum-Means Scholarship,Karnataka Department of Minorities,Scholarship,UG/PG/Professional,Minority students pursuing professional or technical courses,https://dom.karnataka.gov.in/,9/7/2026,"Karnataka Minority Welfare Department Merit-cum-Means Scholarship is a scholarship initiative for minority students pursuing professional or technical courses, covering UG/PG/Professional education/research.",Primarily intended for minority students pursuing professional or technical courses. Applicable study level: UG/PG/Professional. Applicants must satisfy the scheme's current official conditions and documentation requirements.,"Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.","Karnataka Minority Welfare Department Merit-cum-Means Scholarship, Scholarship, UG/PG/Professional, Minority students pursuing professional or technical courses, Karnataka Department of Minorities",Government of Karnataka,v1.0,,,,
CG033,Karnataka Minority Welfare Department Vidyasiri Scheme,Karnataka Department of Minorities,Educational support,School/UG/PG,Eligible minority students requiring educational support,https://dom.karnataka.gov.in/,9/7/2026,"Karnataka Minority Welfare Department Vidyasiri Scheme is a educational support initiative for eligible minority students requiring educational support, covering School/UG/PG education/research.",Primarily intended for eligible minority students requiring educational support. Applicable study level: School/UG/PG. Applicants must satisfy the scheme's current official conditions and documentation requirements.,"Education-related financial assistance/support for eligible beneficiaries, subject to scheme rules.","Karnataka Minority Welfare Department Vidyasiri Scheme, Educational support, School/UG/PG, Eligible minority students requiring educational support, Karnataka Department of Minorities",Government of Karnataka,v1.0,,,,
CG034,Karnataka Social Welfare Department Post-Matric Scholarship,Karnataka Social Welfare Department,Scholarship,Post-matric/UG/PG,SC students in Karnataka,https://sw.kar.nic.in/,9/7/2026,"Karnataka Social Welfare Department Post-Matric Scholarship is a scholarship initiative for sc students in karnataka, covering Post-matric/UG/PG education/research.",Primarily intended for sc students in karnataka. Applicable study level: Post-matric/UG/PG. Applicants must satisfy the scheme's current official conditions and documentation requirements.,"Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.","Karnataka Social Welfare Department Post-Matric Scholarship, Scholarship, Post-matric/UG/PG, SC students in Karnataka, Karnataka Social Welfare Department",Karnataka Social Welfare Department,v1.0,,,,
CG035,Karnataka Social Welfare Department Pre-Matric Scholarship,Karnataka Social Welfare Department,Scholarship,School,SC students in Karnataka,https://sw.kar.nic.in/,9/7/2026,"Karnataka Social Welfare Department Pre-Matric Scholarship is a scholarship initiative for sc students in karnataka, covering School education/research.",Primarily intended for sc students in karnataka. Applicable study level: School. Applicants must satisfy the scheme's current official conditions and documentation requirements.,"Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.","Karnataka Social Welfare Department Pre-Matric Scholarship, Scholarship, School, SC students in Karnataka, Karnataka Social Welfare Department",Karnataka Social Welfare Department,v1.0,,,,
CG036,Karnataka Tribal Welfare Department Post-Matric Scholarship,Karnataka Tribal Welfare Department,Scholarship,Post-matric/UG/PG,ST students in Karnataka,https://stwelfare.kar.nic.in/,9/7/2026,"Karnataka Tribal Welfare Department Post-Matric Scholarship is a scholarship initiative for st students in karnataka, covering Post-matric/UG/PG education/research.",Primarily intended for st students in karnataka. Applicable study level: Post-matric/UG/PG. Applicants must satisfy the scheme's current official conditions and documentation requirements.,"Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.","Karnataka Tribal Welfare Department Post-Matric Scholarship, Scholarship, Post-matric/UG/PG, ST students in Karnataka, Karnataka Tribal Welfare Department",Karnataka Tribal Welfare Department,v1.0,,,,
CG037,Karnataka Tribal Welfare Department Pre-Matric Scholarship,Karnataka Tribal Welfare Department,Scholarship,School,ST students in Karnataka,https://stwelfare.kar.nic.in/,9/7/2026,"Karnataka Tribal Welfare Department Pre-Matric Scholarship is a scholarship initiative for st students in karnataka, covering School education/research.",Primarily intended for st students in karnataka. Applicable study level: School. Applicants must satisfy the scheme's current official conditions and documentation requirements.,"Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.","Karnataka Tribal Welfare Department Pre-Matric Scholarship, Scholarship, School, ST students in Karnataka, Karnataka Tribal Welfare Department",Karnataka Tribal Welfare Department,v1.0,,,,
CG038,Karnataka Backward Classes Welfare Department Post-Matric Scholarship,Karnataka Backward Classes Welfare Department,Scholarship,Post-matric/UG/PG,Eligible backward-class students in Karnataka,https://bcwd.karnataka.gov.in/,9/7/2026,"Karnataka Backward Classes Welfare Department Post-Matric Scholarship is a scholarship initiative for eligible backward-class students in karnataka, covering Post-matric/UG/PG education/research.",Primarily intended for eligible backward-class students in karnataka. Applicable study level: Post-matric/UG/PG. Applicants must satisfy the scheme's current official conditions and documentation requirements.,"Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.","Karnataka Backward Classes Welfare Department Post-Matric Scholarship, Scholarship, Post-matric/UG/PG, Eligible backward-class students in Karnataka, Karnataka Backward Classes Welfare Department",Government of Karnataka,v1.0,,,,
CG039,Karnataka Backward Classes Welfare Department Pre-Matric Scholarship,Karnataka Backward Classes Welfare Department,Scholarship,School,Eligible backward-class students in Karnataka,https://bcwd.karnataka.gov.in/,9/7/2026,"Karnataka Backward Classes Welfare Department Pre-Matric Scholarship is a scholarship initiative for eligible backward-class students in karnataka, covering School education/research.",Primarily intended for eligible backward-class students in karnataka. Applicable study level: School. Applicants must satisfy the scheme's current official conditions and documentation requirements.,"Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.","Karnataka Backward Classes Welfare Department Pre-Matric Scholarship, Scholarship, School, Eligible backward-class students in Karnataka, Karnataka Backward Classes Welfare Department",Government of Karnataka,v1.0,,,,
CG040,Karnataka Brahmin Development Board Scholarship,Karnataka Brahmin Development Board,Scholarship,School/UG/PG,Eligible beneficiaries under Karnataka Brahmin Development Board schemes,https://kdb.karnataka.gov.in/,9/7/2026,"Karnataka Brahmin Development Board Scholarship is a scholarship initiative for eligible beneficiaries under karnataka brahmin development board schemes, covering School/UG/PG education/research.",Primarily intended for eligible beneficiaries under karnataka brahmin development board schemes. Applicable study level: School/UG/PG. Applicants must satisfy the scheme's current official conditions and documentation requirements.,"Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.","Karnataka Brahmin Development Board Scholarship, Scholarship, School/UG/PG, Eligible beneficiaries under Karnataka Brahmin Development Board schemes, Karnataka Brahmin Development Board",Government of Karnataka,v1.0,,,,
CG041,Karnataka Devaraj Urs Backward Classes Development Corporation Educational Loan,Karnataka Devaraj Urs Backward Classes Development Corporation,Educational support,Higher education/professional,Eligible backward-class students in Karnataka,https://dbcdc.karnataka.gov.in/,9/7/2026,"Karnataka Devaraj Urs Backward Classes Development Corporation Educational Loan is a educational support initiative for eligible backward-class students in karnataka, covering Higher education/professional education/research.",Primarily intended for eligible backward-class students in karnataka. Applicable study level: Higher education/professional. Applicants must satisfy the scheme's current official conditions and documentation requirements.,"Education-related financial assistance/support for eligible beneficiaries, subject to scheme rules.","Karnataka Devaraj Urs Backward Classes Development Corporation Educational Loan, Educational support, Higher education/professional, Eligible backward-class students in Karnataka, Karnataka Devaraj Urs Backward Classes Development Corporation",Government of Karnataka,v1.0,,,,
CG042,Karnataka Minority Development Corporation Educational Loan,Karnataka Minority Development Corporation,Educational support,Higher education/professional,Eligible minority students in Karnataka,https://kmdc.karnataka.gov.in/,9/7/2026,"Karnataka Minority Development Corporation Educational Loan is a educational support initiative for eligible minority students in karnataka, covering Higher education/professional education/research.",Primarily intended for eligible minority students in karnataka. Applicable study level: Higher education/professional. Applicants must satisfy the scheme's current official conditions and documentation requirements.,"Education-related financial assistance/support for eligible beneficiaries, subject to scheme rules.","Karnataka Minority Development Corporation Educational Loan, Educational support, Higher education/professional, Eligible minority students in Karnataka, Karnataka Minority Development Corporation",Government of Karnataka,v1.0,,,,
