scheme_id,scheme_name,retrieval_text,official_url,source_name,rule_version
CG012,Pre-Matric Scholarship for ST Students,"Scheme Name: Pre-Matric Scholarship for ST Students. Category: Scholarship. Study Level: School. Target Group: Scheduled Tribe students. Description: Pre-Matric Scholarship for ST Students is a scholarship initiative for scheduled tribe students, covering School education/research.. Eligibility: Primarily intended for scheduled tribe students. Applicable study level: School. Applicants must satisfy the scheme's current official conditions and documentation requirements.. Benefits: Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.. Keywords: Pre-Matric Scholarship for ST Students, Scholarship, School, Scheduled Tribe students, Ministry of Tribal Affairs.",https://tribal.nic.in/,Ministry of Tribal Affairs,v1.0
CG013,Ishan Uday Special Scholarship Scheme for North Eastern Region,"Scheme Name: Ishan Uday Special Scholarship Scheme for North Eastern Region. Category: Scholarship. Study Level: UG. Target Group: Students from North Eastern states. Description: Ishan Uday Special Scholarship Scheme for North Eastern Region is a scholarship initiative for students from north eastern states, covering UG education/research.. Eligibility: Primarily intended for students from north eastern states. Applicable study level: UG. Applicants must satisfy the scheme's current official conditions and documentation requirements.. Benefits: Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.. Keywords: Ishan Uday Special Scholarship Scheme for North Eastern Region, Scholarship, UG, Students from North Eastern states, University Grants Commission / Ministry of Education.",https://scholarships.gov.in/,National Scholarship Portal,v1.0
CG014,National Scholarship for Post Graduate Studies,"Scheme Name: National Scholarship for Post Graduate Studies. Category: Scholarship. Study Level: PG. Target Group: Postgraduate students. Description: National Scholarship for Post Graduate Studies is a scholarship initiative for postgraduate students, covering PG education/research.. Eligibility: Primarily intended for postgraduate students. Applicable study level: PG. Applicants must satisfy the scheme's current official conditions and documentation requirements.. Benefits: Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.. Keywords: National Scholarship for Post Graduate Studies, Scholarship, PG, Postgraduate students, University Grants Commission / Ministry of Education.",https://scholarships.gov.in/,National Scholarship Portal,v1.0
CG015,AICTE Pragati Scholarship Scheme for Girl Students,"Scheme Name: AICTE Pragati Scholarship Scheme for Girl Students. Category: Scholarship. Study Level: Diploma/UG. Target Group: Girl students pursuing technical education. Description: AICTE Pragati Scholarship Scheme for Girl Students is a scholarship initiative for girl students pursuing technical education, covering Diploma/UG education/research.. Eligibility: Primarily intended for girl students pursuing technical education. Applicable study level: Diploma/UG. Applicants must satisfy the scheme's current official conditions and documentation requirements.. Benefits: Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.. Keywords: AICTE Pragati Scholarship Scheme for Girl Students, Scholarship, Diploma/UG, Girl students pursuing technical education, All India Council for Technical Education.",https://scholarships.gov.in/,National Scholarship Portal,v1.0
CG016,AICTE Saksham Scholarship Scheme,"Scheme Name: AICTE Saksham Scholarship Scheme. Category: Scholarship. Study Level: Diploma/UG. Target Group: Specially-abled students pursuing technical education. Description: AICTE Saksham Scholarship Scheme is a scholarship initiative for specially-abled students pursuing technical education, covering Diploma/UG education/research.. Eligibility: Primarily intended for specially-abled students pursuing technical education. Applicable study level: Diploma/UG. Applicants must satisfy the scheme's current official conditions and documentation requirements.. Benefits: Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.. Keywords: AICTE Saksham Scholarship Scheme, Scholarship, Diploma/UG, Specially-abled students pursuing technical education, All India Council for Technical Education.",https://scholarships.gov.in/,National Scholarship Portal,v1.0
CG017,AICTE Swanath Scholarship Scheme,"Scheme Name: AICTE Swanath Scholarship Scheme. Category: Scholarship. Study Level: Diploma/UG. Target Group: Students meeting AICTE Swanath eligibility conditions. Description: AICTE Swanath Scholarship Scheme is a scholarship initiative for students meeting aicte swanath eligibility conditions, covering Diploma/UG education/research.. Eligibility: Primarily intended for students meeting aicte swanath eligibility conditions. Applicable study level: Diploma/UG. Applicants must satisfy the scheme's current official conditions and documentation requirements.. Benefits: Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.. Keywords: AICTE Swanath Scholarship Scheme, Scholarship, Diploma/UG, Students meeting AICTE Swanath eligibility conditions, All India Council for Technical Education.",https://scholarships.gov.in/,National Scholarship Portal,v1.0
CG018,Maulana Azad National Fellowship,"Scheme Name: Maulana Azad National Fellowship. Category: Fellowship. Study Level: MPhil/PhD. Target Group: Students from notified minority communities. Description: Maulana Azad National Fellowship is a fellowship initiative for students from notified minority communities, covering MPhil/PhD education/research.. Eligibility: Primarily intended for students from notified minority communities. Applicable study level: MPhil/PhD. Applicants must satisfy the scheme's current official conditions and documentation requirements.. Benefits: Financial support for eligible academic or research study, subject to the applicable fellowship rules.. Keywords: Maulana Azad National Fellowship, Fellowship, MPhil/PhD, Students from notified minority communities, Ministry of Minority Affairs.",https://minorityaffairs.gov.in/,Ministry of Minority Affairs,v1.0
CG019,Merit-cum-Means Scholarship for Professional and Technical Courses,"Scheme Name: Merit-cum-Means Scholarship for Professional and Technical Courses. Category: Scholarship. Study Level: UG/PG. Target Group: Students from minority communities. Description: Merit-cum-Means Scholarship for Professional and Technical Courses is a scholarship initiative for students from minority communities, covering UG/PG education/research.. Eligibility: Primarily intended for students from minority communities. Applicable study level: UG/PG. Applicants must satisfy the scheme's current official conditions and documentation requirements.. Benefits: Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.. Keywords: Merit-cum-Means Scholarship for Professional and Technical Courses, Scholarship, UG/PG, Students from minority communities, Ministry of Minority Affairs.",https://minorityaffairs.gov.in/,Ministry of Minority Affairs,v1.0
CG020,Post-Matric Scholarship Scheme for Minorities,"Scheme Name: Post-Matric Scholarship Scheme for Minorities. Category: Scholarship. Study Level: Class XI/UG/PG. Target Group: Students from minority communities. Description: Post-Matric Scholarship Scheme for Minorities is a scholarship initiative for students from minority communities, covering Class XI/UG/PG education/research.. Eligibility: Primarily intended for students from minority communities. Applicable study level: Class XI/UG/PG. Applicants must satisfy the scheme's current official conditions and documentation requirements.. Benefits: Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.. Keywords: Post-Matric Scholarship Scheme for Minorities, Scholarship, Class XI/UG/PG, Students from minority communities, Ministry of Minority Affairs.",https://minorityaffairs.gov.in/,Ministry of Minority Affairs,v1.0
CG021,Scholarship Scheme for Students from Minority Communities,"Scheme Name: Scholarship Scheme for Students from Minority Communities. Category: Scholarship. Study Level: School/UG/PG. Target Group: Eligible minority students. Description: Scholarship Scheme for Students from Minority Communities is a scholarship initiative for eligible minority students, covering School/UG/PG education/research.. Eligibility: Primarily intended for eligible minority students. Applicable study level: School/UG/PG. Applicants must satisfy the scheme's current official conditions and documentation requirements.. Benefits: Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.. Keywords: Scholarship Scheme for Students from Minority Communities, Scholarship, School/UG/PG, Eligible minority students, Ministry of Minority Affairs.",https://minorityaffairs.gov.in/,Ministry of Minority Affairs,v1.0
CG022,National Overseas Scholarship,"Scheme Name: National Overseas Scholarship. Category: Scholarship. Study Level: PG/PhD. Target Group: Eligible SC and other notified-category students. Description: National Overseas Scholarship is a scholarship initiative for eligible sc and other notified-category students, covering PG/PhD education/research.. Eligibility: Primarily intended for eligible sc and other notified-category students. Applicable study level: PG/PhD. Applicants must satisfy the scheme's current official conditions and documentation requirements.. Benefits: Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.. Keywords: National Overseas Scholarship, Scholarship, PG/PhD, Eligible SC and other notified-category students, Ministry of Social Justice and Empowerment.",https://socialjustice.gov.in/,Ministry of Social Justice and Empowerment,v1.0
CG023,National Overseas Scholarship for ST Students,"Scheme Name: National Overseas Scholarship for ST Students. Category: Scholarship. Study Level: PG/PhD. Target Group: Scheduled Tribe students seeking overseas study. Description: National Overseas Scholarship for ST Students is a scholarship initiative for scheduled tribe students seeking overseas study, covering PG/PhD education/research.. Eligibility: Primarily intended for scheduled tribe students seeking overseas study. Applicable study level: PG/PhD. Applicants must satisfy the scheme's current official conditions and documentation requirements.. Benefits: Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.. Keywords: National Overseas Scholarship for ST Students, Scholarship, PG/PhD, Scheduled Tribe students seeking overseas study, Ministry of Tribal Affairs.",https://tribal.nic.in/,Ministry of Tribal Affairs,v1.0
CG024,Scholarship Scheme for Wards of Beedi/Cine/IOMC/ LSDM Workers,"Scheme Name: Scholarship Scheme for Wards of Beedi/Cine/IOMC/ LSDM Workers. Category: Scholarship. Study Level: School/UG/PG. Target Group: Eligible wards of specified workers. Description: Scholarship Scheme for Wards of Beedi/Cine/IOMC/ LSDM Workers is a scholarship initiative for eligible wards of specified workers, covering School/UG/PG education/research.. Eligibility: Primarily intended for eligible wards of specified workers. Applicable study level: School/UG/PG. Applicants must satisfy the scheme's current official conditions and documentation requirements.. Benefits: Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.. Keywords: Scholarship Scheme for Wards of Beedi/Cine/IOMC/ LSDM Workers, Scholarship, School/UG/PG, Eligible wards of specified workers, Ministry of Labour and Employment.",https://scholarships.gov.in/,National Scholarship Portal,v1.0
CG025,Prime Minister’s Scholarship Scheme for RPF/RPSF,"Scheme Name: Prime Minister’s Scholarship Scheme for RPF/RPSF. Category: Scholarship. Study Level: UG/Professional. Target Group: Wards of eligible RPF/RPSF personnel. Description: Prime Minister’s Scholarship Scheme for RPF/RPSF is a scholarship initiative for wards of eligible rpf/rpsf personnel, covering UG/Professional education/research.. Eligibility: Primarily intended for wards of eligible rpf/rpsf personnel. Applicable study level: UG/Professional. Applicants must satisfy the scheme's current official conditions and documentation requirements.. Benefits: Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.. Keywords: Prime Minister’s Scholarship Scheme for RPF/RPSF, Scholarship, UG/Professional, Wards of eligible RPF/RPSF personnel, Ministry of Railways.",https://scholarships.gov.in/,National Scholarship Portal,v1.0
CG026,Prime Minister’s Scholarship Scheme for CAPF and Assam Rifles,"Scheme Name: Prime Minister’s Scholarship Scheme for CAPF and Assam Rifles. Category: Scholarship. Study Level: UG/Professional. Target Group: Wards of eligible CAPF/Assam Rifles personnel. Description: Prime Minister’s Scholarship Scheme for CAPF and Assam Rifles is a scholarship initiative for wards of eligible capf/assam rifles personnel, covering UG/Professional education/research.. Eligibility: Primarily intended for wards of eligible capf/assam rifles personnel. Applicable study level: UG/Professional. Applicants must satisfy the scheme's current official conditions and documentation requirements.. Benefits: Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.. Keywords: Prime Minister’s Scholarship Scheme for CAPF and Assam Rifles, Scholarship, UG/Professional, Wards of eligible CAPF/Assam Rifles personnel, Ministry of Home Affairs.",https://scholarships.gov.in/,National Scholarship Portal,v1.0
CG027,Prime Minister’s Scholarship Scheme for Ex-Servicemen,"Scheme Name: Prime Minister’s Scholarship Scheme for Ex-Servicemen. Category: Scholarship. Study Level: UG/Professional. Target Group: Wards and widows of eligible ex-servicemen. Description: Prime Minister’s Scholarship Scheme for Ex-Servicemen is a scholarship initiative for wards and widows of eligible ex-servicemen, covering UG/Professional education/research.. Eligibility: Primarily intended for wards and widows of eligible ex-servicemen. Applicable study level: UG/Professional. Applicants must satisfy the scheme's current official conditions and documentation requirements.. Benefits: Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.. Keywords: Prime Minister’s Scholarship Scheme for Ex-Servicemen, Scholarship, UG/Professional, Wards and widows of eligible ex-servicemen, Ministry of Defence.",https://scholarships.gov.in/,National Scholarship Portal,v1.0
CG028,Scholarship for Children of Armed Forces Personnel,"Scheme Name: Scholarship for Children of Armed Forces Personnel. Category: Scholarship. Study Level: School/UG. Target Group: Eligible children of armed forces personnel. Description: Scholarship for Children of Armed Forces Personnel is a scholarship initiative for eligible children of armed forces personnel, covering School/UG education/research.. Eligibility: Primarily intended for eligible children of armed forces personnel. Applicable study level: School/UG. Applicants must satisfy the scheme's current official conditions and documentation requirements.. Benefits: Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.. Keywords: Scholarship for Children of Armed Forces Personnel, Scholarship, School/UG, Eligible children of armed forces personnel, Ministry of Defence.",https://scholarships.gov.in/,National Scholarship Portal,v1.0
CG029,National Fellowship for Persons with Disabilities,"Scheme Name: National Fellowship for Persons with Disabilities. Category: Fellowship. Study Level: MPhil/PhD. Target Group: Research scholars with disabilities. Description: National Fellowship for Persons with Disabilities is a fellowship initiative for research scholars with disabilities, covering MPhil/PhD education/research.. Eligibility: Primarily intended for research scholars with disabilities. Applicable study level: MPhil/PhD. Applicants must satisfy the scheme's current official conditions and documentation requirements.. Benefits: Financial support for eligible academic or research study, subject to the applicable fellowship rules.. Keywords: National Fellowship for Persons with Disabilities, Fellowship, MPhil/PhD, Research scholars with disabilities, Department of Empowerment of Persons with Disabilities.",https://scholarships.gov.in/,National Scholarship Portal,v1.0
CG030,Karnataka Minority Welfare Department Pre-Matric Scholarship,"Scheme Name: Karnataka Minority Welfare Department Pre-Matric Scholarship. Category: Scholarship. Study Level: School. Target Group: Minority students in Karnataka. Description: Karnataka Minority Welfare Department Pre-Matric Scholarship is a scholarship initiative for minority students in karnataka, covering School education/research.. Eligibility: Primarily intended for minority students in karnataka. Applicable study level: School. Applicants must satisfy the scheme's current official conditions and documentation requirements.. Benefits: Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.. Keywords: Karnataka Minority Welfare Department Pre-Matric Scholarship, Scholarship, School, Minority students in Karnataka, Karnataka Department of Minorities.",https://dom.karnataka.gov.in/,Government of Karnataka,v1.0
CG031,Karnataka Minority Welfare Department Post-Matric Scholarship,"Scheme Name: Karnataka Minority Welfare Department Post-Matric Scholarship. Category: Scholarship. Study Level: Class XI/UG/PG. Target Group: Minority students in Karnataka. Description: Karnataka Minority Welfare Department Post-Matric Scholarship is a scholarship initiative for minority students in karnataka, covering Class XI/UG/PG education/research.. Eligibility: Primarily intended for minority students in karnataka. Applicable study level: Class XI/UG/PG. Applicants must satisfy the scheme's current official conditions and documentation requirements.. Benefits: Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.. Keywords: Karnataka Minority Welfare Department Post-Matric Scholarship, Scholarship, Class XI/UG/PG, Minority students in Karnataka, Karnataka Department of Minorities.",https://dom.karnataka.gov.in/,Government of Karnataka,v1.0
CG032,Karnataka Minority Welfare Department Merit-cum-Means Scholarship,"Scheme Name: Karnataka Minority Welfare Department Merit-cum-Means Scholarship. Category: Scholarship. Study Level: UG/PG/Professional. Target Group: Minority students pursuing professional or technical courses. Description: Karnataka Minority Welfare Department Merit-cum-Means Scholarship is a scholarship initiative for minority students pursuing professional or technical courses, covering UG/PG/Professional education/research.. Eligibility: Primarily intended for minority students pursuing professional or technical courses. Applicable study level: UG/PG/Professional. Applicants must satisfy the scheme's current official conditions and documentation requirements.. Benefits: Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.. Keywords: Karnataka Minority Welfare Department Merit-cum-Means Scholarship, Scholarship, UG/PG/Professional, Minority students pursuing professional or technical courses, Karnataka Department of Minorities.",https://dom.karnataka.gov.in/,Government of Karnataka,v1.0
CG033,Karnataka Minority Welfare Department Vidyasiri Scheme,"Scheme Name: Karnataka Minority Welfare Department Vidyasiri Scheme. Category: Educational support. Study Level: School/UG/PG. Target Group: Eligible minority students requiring educational support. Description: Karnataka Minority Welfare Department Vidyasiri Scheme is a educational support initiative for eligible minority students requiring educational support, covering School/UG/PG education/research.. Eligibility: Primarily intended for eligible minority students requiring educational support. Applicable study level: School/UG/PG. Applicants must satisfy the scheme's current official conditions and documentation requirements.. Benefits: Education-related financial assistance/support for eligible beneficiaries, subject to scheme rules.. Keywords: Karnataka Minority Welfare Department Vidyasiri Scheme, Educational support, School/UG/PG, Eligible minority students requiring educational support, Karnataka Department of Minorities.",https://dom.karnataka.gov.in/,Government of Karnataka,v1.0
CG034,Karnataka Social Welfare Department Post-Matric Scholarship,"Scheme Name: Karnataka Social Welfare Department Post-Matric Scholarship. Category: Scholarship. Study Level: Post-matric/UG/PG. Target Group: SC students in Karnataka. Description: Karnataka Social Welfare Department Post-Matric Scholarship is a scholarship initiative for sc students in karnataka, covering Post-matric/UG/PG education/research.. Eligibility: Primarily intended for sc students in karnataka. Applicable study level: Post-matric/UG/PG. Applicants must satisfy the scheme's current official conditions and documentation requirements.. Benefits: Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.. Keywords: Karnataka Social Welfare Department Post-Matric Scholarship, Scholarship, Post-matric/UG/PG, SC students in Karnataka, Karnataka Social Welfare Department.",https://sw.kar.nic.in/,Karnataka Social Welfare Department,v1.0
CG035,Karnataka Social Welfare Department Pre-Matric Scholarship,"Scheme Name: Karnataka Social Welfare Department Pre-Matric Scholarship. Category: Scholarship. Study Level: School. Target Group: SC students in Karnataka. Description: Karnataka Social Welfare Department Pre-Matric Scholarship is a scholarship initiative for sc students in karnataka, covering School education/research.. Eligibility: Primarily intended for sc students in karnataka. Applicable study level: School. Applicants must satisfy the scheme's current official conditions and documentation requirements.. Benefits: Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.. Keywords: Karnataka Social Welfare Department Pre-Matric Scholarship, Scholarship, School, SC students in Karnataka, Karnataka Social Welfare Department.",https://sw.kar.nic.in/,Karnataka Social Welfare Department,v1.0
CG036,Karnataka Tribal Welfare Department Post-Matric Scholarship,"Scheme Name: Karnataka Tribal Welfare Department Post-Matric Scholarship. Category: Scholarship. Study Level: Post-matric/UG/PG. Target Group: ST students in Karnataka. Description: Karnataka Tribal Welfare Department Post-Matric Scholarship is a scholarship initiative for st students in karnataka, covering Post-matric/UG/PG education/research.. Eligibility: Primarily intended for st students in karnataka. Applicable study level: Post-matric/UG/PG. Applicants must satisfy the scheme's current official conditions and documentation requirements.. Benefits: Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.. Keywords: Karnataka Tribal Welfare Department Post-Matric Scholarship, Scholarship, Post-matric/UG/PG, ST students in Karnataka, Karnataka Tribal Welfare Department.",https://stwelfare.kar.nic.in/,Karnataka Tribal Welfare Department,v1.0
CG037,Karnataka Tribal Welfare Department Pre-Matric Scholarship,"Scheme Name: Karnataka Tribal Welfare Department Pre-Matric Scholarship. Category: Scholarship. Study Level: School. Target Group: ST students in Karnataka. Description: Karnataka Tribal Welfare Department Pre-Matric Scholarship is a scholarship initiative for st students in karnataka, covering School education/research.. Eligibility: Primarily intended for st students in karnataka. Applicable study level: School. Applicants must satisfy the scheme's current official conditions and documentation requirements.. Benefits: Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.. Keywords: Karnataka Tribal Welfare Department Pre-Matric Scholarship, Scholarship, School, ST students in Karnataka, Karnataka Tribal Welfare Department.",https://stwelfare.kar.nic.in/,Karnataka Tribal Welfare Department,v1.0
CG038,Karnataka Backward Classes Welfare Department Post-Matric Scholarship,"Scheme Name: Karnataka Backward Classes Welfare Department Post-Matric Scholarship. Category: Scholarship. Study Level: Post-matric/UG/PG. Target Group: Eligible backward-class students in Karnataka. Description: Karnataka Backward Classes Welfare Department Post-Matric Scholarship is a scholarship initiative for eligible backward-class students in karnataka, covering Post-matric/UG/PG education/research.. Eligibility: Primarily intended for eligible backward-class students in karnataka. Applicable study level: Post-matric/UG/PG. Applicants must satisfy the scheme's current official conditions and documentation requirements.. Benefits: Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.. Keywords: Karnataka Backward Classes Welfare Department Post-Matric Scholarship, Scholarship, Post-matric/UG/PG, Eligible backward-class students in Karnataka, Karnataka Backward Classes Welfare Department.",https://bcwd.karnataka.gov.in/,Government of Karnataka,v1.0
