scheme_id,scheme_name,ministry,category,study_level,target_group,official_url,verification_date,,,,,,,,,,
CG022,National Overseas Scholarship,Ministry of Social Justice and Empowerment,Scholarship,PG/PhD,Eligible SC and other notified-category students,https://socialjustice.gov.in/ ,9/7/2026,,,,,,,,,,
CG023,National Overseas Scholarship for ST Students,Ministry of Tribal Affairs,Scholarship,PG/PhD,Scheduled Tribe students seeking overseas study,https://tribal.nic.in/ ,9/7/2026,,,,,,,,,,
CG024,Scholarship Scheme for Wards of Beedi/Cine/IOMC/ LSDM Workers,Ministry of Labour and Employment,Scholarship,School/UG/PG,Eligible wards of specified workers,https://scholarships.gov.in/ ,9/7/2026,,,,,,,,,,
CG025,Prime Minister’s Scholarship Scheme for RPF/RPSF,Ministry of Railways,Scholarship,UG/Professional,Wards of eligible RPF/RPSF personnel,https://scholarships.gov.in/ ,9/7/2026,,,,,,,,,,
CG026,Prime Minister’s Scholarship Scheme for CAPF and Assam Rifles,Ministry of Home Affairs,Scholarship,UG/Professional,Wards of eligible CAPF/Assam Rifles personnel,https://scholarships.gov.in/ ,9/7/2026,,,,,,,,,,
CG027,Prime Minister’s Scholarship Scheme for Ex-Servicemen,Ministry of Defence,Scholarship,UG/Professional,Wards and widows of eligible ex-servicemen,https://scholarships.gov.in/ ,9/7/2026,,,,,,,,,,
CG028,Scholarship for Children of Armed Forces Personnel,Ministry of Defence,Scholarship,School/UG,Eligible children of armed forces personnel,https://scholarships.gov.in/ ,9/7/2026,,,,,,,,,,
CG029,National Fellowship for Persons with Disabilities,Department of Empowerment of Persons with Disabilities,Fellowship,MPhil/PhD,Research scholars with disabilities,https://scholarships.gov.in/ ,9/7/2026,,,,,,,,,,
CG030,Karnataka Minority Welfare Department Pre-Matric Scholarship,Karnataka Department of Minorities,Scholarship,School,Minority students in Karnataka,https://dom.karnataka.gov.in/ ,9/7/2026,,,,,,,,,,
CG031,Karnataka Minority Welfare Department Post-Matric Scholarship,Karnataka Department of Minorities,Scholarship,Class XI/UG/PG,Minority students in Karnataka,https://dom.karnataka.gov.in/ ,9/7/2026,,,,,,,,,,
CG032,Karnataka Minority Welfare Department Merit-cum-Means Scholarship,Karnataka Department of Minorities,Scholarship,UG/PG/Professional,Minority students pursuing professional or technical courses,https://dom.karnataka.gov.in/ ,9/7/2026,,,,,,,,,,
CG033,Karnataka Minority Welfare Department Vidyasiri Scheme,Karnataka Department of Minorities,Educational support,School/UG/PG,Eligible minority students requiring educational support,https://dom.karnataka.gov.in/ ,9/7/2026,,,,,,,,,,
CG034,Karnataka Social Welfare Department Post-Matric Scholarship,Karnataka Social Welfare Department,Scholarship,Post-matric/UG/PG,SC students in Karnataka,https://sw.kar.nic.in/ ,9/7/2026,,,,,,,,,,
CG035,Karnataka Social Welfare Department Pre-Matric Scholarship,Karnataka Social Welfare Department,Scholarship,School,SC students in Karnataka,https://sw.kar.nic.in/ ,9/7/2026,,,,,,,,,,
CG036,Karnataka Tribal Welfare Department Post-Matric Scholarship,Karnataka Tribal Welfare Department,Scholarship,Post-matric/UG/PG,ST students in Karnataka,https://stwelfare.kar.nic.in/ ,9/7/2026,,,,,,,,,,
CG037,Karnataka Tribal Welfare Department Pre-Matric Scholarship,Karnataka Tribal Welfare Department,Scholarship,School,ST students in Karnataka,https://stwelfare.kar.nic.in/ ,9/7/2026,,,,,,,,,,
CG038,Karnataka Backward Classes Welfare Department Post-Matric Scholarship,Karnataka Backward Classes Welfare Department,Scholarship,Post-matric/UG/PG,Eligible backward-class students in Karnataka,https://bcwd.karnataka.gov.in/ ,9/7/2026,,,,,,,,,,
CG039,Karnataka Backward Classes Welfare Department Pre-Matric Scholarship,Karnataka Backward Classes Welfare Department,Scholarship,School,Eligible backward-class students in Karnataka,https://bcwd.karnataka.gov.in/ ,9/7/2026,,,,,,,,,,
CG040,Karnataka Brahmin Development Board Scholarship,Karnataka Brahmin Development Board,Scholarship,School/UG/PG,Eligible beneficiaries under Karnataka Brahmin Development Board schemes,https://kdb.karnataka.gov.in/ ,9/7/2026,,,,,,,,,,
CG041,Karnataka Devaraj Urs Backward Classes Development Corporation Educational Loan,Karnataka Devaraj Urs Backward Classes Development Corporation,Educational support,Higher education/professional,Eligible backward-class students in Karnataka,https://dbcdc.karnataka.gov.in/ ,9/7/2026,,,,,,,,,,
CG042,Karnataka Minority Development Corporation Educational Loan,Karnataka Minority Development Corporation,Educational support,Higher education/professional,Eligible minority students in Karnataka,https://kmdc.karnataka.gov.in/ ,9/7/2026,,,,,,,,,,
CG043,Karnataka Valmiki Development Corporation Educational Loan,Karnataka Maharshi Valmiki Scheduled Tribes Development Corporation,Educational support,Higher education/professional,Eligible ST beneficiaries in Karnataka,https://kmvstdcl.karnataka.gov.in/ ,9/7/2026,,,,,,,,,,
CG044,Karnataka Ambedkar Development Corporation Educational Loan,Karnataka Dr. B. R. Ambedkar Development Corporation,Educational support,Higher education/professional,Eligible SC beneficiaries in Karnataka,https://adcl.karnataka.gov.in/ ,9/7/2026,,,,,,,,,,
CG045,Karnataka Arya Vaishya Community Development Corporation Educational Loan,Karnataka Arya Vaishya Community Development Corporation,Educational support,Higher education/professional,Eligible Arya Vaishya beneficiaries in Karnataka,https://kavcdc.karnataka.gov.in/ ,9/7/2026,,,,,,,,,,
CG046,Karnataka Uppara Development Corporation Educational Loan,Karnataka Uppara Development Corporation,Educational support,Higher education/professional,Eligible Uppara community beneficiaries in Karnataka,https://kudc.karnataka.gov.in/ ,9/7/2026,,,,,,,,,,
CG047,Karnataka Savita Samaja Development Corporation Educational Loan,Karnataka Savita Samaja Development Corporation,Educational support,Higher education/professional,Eligible Savita Samaja beneficiaries in Karnataka,https://kscdc.karnataka.gov.in/ ,9/7/2026,,,,,,,,,,
CG048,Karnataka Ganga Kalyana Educational Assistance,Karnataka Development Corporation schemes,Educational support,Higher education,Eligible beneficiaries under applicable Karnataka schemes,https://karnataka.gov.in/ ,9/7/2026,,,,,,,,,,
CG049,Karnataka State Scholarship Portal Educational Assistance,Government of Karnataka,Scholarship,School/UG/PG,Eligible Karnataka students under SSP-linked schemes,https://ssp.postmatric.karnataka.gov.in/ ,9/7/2026,,,,,,,,,,
CG050,National Fellowship for OBC Students,Ministry of Social Justice and Empowerment,Fellowship,MPhil/PhD,Eligible Other Backward Class research scholars,https://socialjustice.gov.in/ ,9/13/2026,,,,,,,,,,
CG051,National Fellowship for Students from Minority Communities,Ministry of Minority Affairs,Fellowship,MPhil/PhD,Students belonging to notified minority communities,https://minorityaffairs.gov.in/ ,9/13/2026,,,,,,,,,,
CG052,UGC Emeritus Fellowship,University Grants Commission,Fellowship,Research/Academic,Retired teachers and eligible academic researchers,https://www.ugc.gov.in/ ,9/13/2026,,,,,,,,,,
CG053,UGC Junior Research Fellowship,University Grants Commission,Fellowship,MPhil/PhD,Eligible postgraduate students qualifying through UGC-NET,https://www.ugc.gov.in/ ,9/13/2026,,,,,,,,,,
CG054,UGC Research Fellowship in Sciences,University Grants Commission,Fellowship,PhD/Research,Eligible science research scholars,https://www.ugc.gov.in/ ,9/13/2026,,,,,,,,,,
CG055,INSPIRE Scholarship for Higher Education,Department of Science and Technology,Scholarship,UG,Students pursuing basic and natural sciences,https://online-inspire.gov.in/ ,9/13/2026,,,,,,,,,,
CG056,INSPIRE Fellowship,Department of Science and Technology,Fellowship,PhD,Students pursuing doctoral research in science,https://online-inspire.gov.in/ ,9/13/2026,,,,,,,,,,
CG057,Kishore Vaigyanik Protsahan Yojana / INSPIRE-linked Research Support,Department of Science and Technology,Scholarship/Fellowship,School/UG,Students interested in basic science research,https://online-inspire.gov.in/ ,9/13/2026,,,,,,,,,,
CG058,Scholarship Scheme for College and University Students under PM-USP,"Department of Higher Education, Ministry of Education",Scholarship,UG/PG,Meritorious students with financial need,https://scholarships.gov.in/ ,9/13/2026,,,,,,,,,,
CG059,National Scholarship Scheme for Jammu and Kashmir Students,Ministry of Education,Scholarship,UG/Professional,Eligible students from Jammu and Kashmir,https://scholarships.gov.in/ ,9/13/2026,,,,,,,,,,
CG060,Special Scholarship Scheme for Jammu and Kashmir,All India Council for Technical Education,Scholarship,UG/Professional,Eligible students from Jammu and Kashmir,https://www.aicte-india.org/ ,9/13/2026,,,,,,,,,,
CG061,Scholarship Scheme for Students from Wards of Coal Mine Workers,Ministry of Coal,Scholarship,School/UG/PG,Eligible wards of coal mine workers,https://scholarships.gov.in/ ,9/13/2026,,,,,,,,,,
CG062,Scholarship for Children of Railway Employees,Ministry of Railways,Scholarship,School/UG,Eligible children of railway employees,https://indianrailways.gov.in/ ,9/13/2026,,,,,,,,,,
CG063,National Award Scholarship for Meritorious Students,"Department of Higher Education, Ministry of Education",Scholarship,UG/PG,High-performing students meeting scheme conditions,https://scholarships.gov.in/ ,9/13/2026,,,,,,,,,,
CG064,Scholarship for Higher Education of Children of Personnel in Armed Forces,Ministry of Defence,Scholarship,UG/Professional,Eligible wards of armed forces personnel,https://scholarships.gov.in/ ,9/13/2026,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
